Classifier,Accuracy,Precision,Recall,F1-Score
SVM,0.9802955665024631,0.9761904761904762,0.9919354838709677,0.984
RandomForest,0.9310344827586207,0.9166666666666666,0.9758064516129032,0.9453125
DecisionTree,0.7980295566502463,0.8373983739837398,0.8306451612903226,0.8340080971659919
XGBoost,0.9359605911330049,0.9302325581395349,0.967741935483871,0.9486166007905138
