Classifier,Accuracy,Precision,Recall,F1-Score
SVM,0.9938888888888889,0.9966480446927374,0.9911111111111112,0.9938718662952646
RandomForest,0.9583333333333334,0.9547960308710033,0.9622222222222222,0.9584947426674045
DecisionTree,0.8816666666666667,0.8916761687571265,0.8688888888888889,0.8801350590883511
XGBoost,0.9761111111111112,0.9734806629834254,0.9788888888888889,0.9761772853185595
